product_code,product_id,name,brand,category,color,size,price_chf,discount_pct,weight_g,waterproof_rating_mm,temp_rating_c,material,tags,zone,zone_name,aisle,stock_total,stock_front,description
7610000000011,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Slate,S,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,10,3,A fully taped 3-layer hardshell for wet alpine days.
7610000000028,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Slate,M,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,18,6,A fully taped 3-layer hardshell for wet alpine days.
7610000000035,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Slate,L,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,7,2,A fully taped 3-layer hardshell for wet alpine days.
7610000000042,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Slate,XL,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,15,5,A fully taped 3-layer hardshell for wet alpine days.
7610000000059,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Burnt Orange,S,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,4,1,A fully taped 3-layer hardshell for wet alpine days.
7610000000066,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Burnt Orange,M,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,12,4,A fully taped 3-layer hardshell for wet alpine days.
7610000000073,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Burnt Orange,L,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,13,0,A fully taped 3-layer hardshell for wet alpine days.
7610000000080,P001,Stormpeak 3L Hardshell Jacket,Nordfjell,hardshell,Burnt Orange,XL,349.0,0,340,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;mens,A,Jackets & Shells,A1,9,3,A fully taped 3-layer hardshell for wet alpine days.
7610000000097,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Slate,XS,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,17,6,Women's fit of the Stormpeak 3-layer hardshell.
7610000000103,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Slate,S,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,6,2,Women's fit of the Stormpeak 3-layer hardshell.
7610000000110,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Slate,M,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,14,5,Women's fit of the Stormpeak 3-layer hardshell.
7610000000127,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Slate,L,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,3,1,Women's fit of the Stormpeak 3-layer hardshell.
7610000000134,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Burnt Orange,XS,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,11,4,Women's fit of the Stormpeak 3-layer hardshell.
7610000000141,P002,Stormpeak 3L Hardshell Jacket W,Nordfjell,hardshell,Burnt Orange,S,349.0,10,320,28000,,Gore-Tex 3L,waterproof;windproof;breathable;gore-tex;3-season;womens,A,Jackets & Shells,A1,12,0,Women's fit of the Stormpeak 3-layer hardshell.
